CODE,NEDERLANDSE OMSCHRIJVING ,ENGELSE OMSCHRIJVING
A,"SECTIE A -- LANDBOUW, BOSBOUW EN VISSERIJ","SECTION A -- AGRICULTURE, FORESTRY AND FISHING"
B,SECTIE B -- WINNING VAN DELFSTOFFEN,SECTION B -- MINING AND QUARRYING
C,SECTIE C -- INDUSTRIE,SECTION C -- MANUFACTURING
D,"SECTIE D -- PRODUCTIE EN DISTRIBUTIE VAN ELEKTRICITEIT, GAS, STOOM EN GEKOELDE LUCHT","SECTION D -- ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY"
E,SECTIE E -- DISTRIBUTIE VAN WATER; AFVAL- EN AFVAL-WATERBEHEER EN SANERING,"SECTION E -- WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES"
F,SECTIE F -- BOUWNIJVERHEID,SECTION F -- CONSTRUCTION
G,SECTIE G -- GROOT- EN DETAILHANDEL; REPARATIE VAN AUTO'S EN MOTORFIETSEN,SECTION G -- WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES
H,SECTIE H -- VERVOER EN OPSLAG,SECTION H -- TRANSPORTATION AND STORAGE
I,SECTIE I -VERSCHAFFEN VAN ACCOMMODATIE EN MAALTIJDEN,SECTION I -- ACCOMMODATION AND FOOD SERVICE ACTIVITIES
J,SECTIE J -- INFORMATIE EN COMMUNICATIE,SECTION J-- INFORMATION AND COMMUNICATION
K,SECTIE K -- FINANCIËLE ACTIVITEITEN EN VERZEKERINGEN,SECTION K -- FINANCIAL AND INSURANCE ACTIVITIES
L,SECTIE L -- EXPLOITATIE VAN EN HANDEL IN ONROEREND GOED,SECTION L -- REAL ESTATE ACTIVITIES
M,SECTIE M -- VRIJE BEROEPEN EN WETENSCHAPPELIJKE EN TECHNISCHE ACTIVITEITEN,"SECTION M -- PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
N,SECTIE N -- ADMINISTRATIEVE EN ONDERSTEUNENDE DIENSTEN,SECTION N -- ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES
O,SECTIE O -- OPENBAAR BESTUUR EN DEFENSIE; VERPLICHTE SOCIALE VERZEKERINGEN,SECTION O --  PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY
P,SECTIE P -- ONDERWIJS,SECTION P -- EDUCATION
Q,SECTIE Q -- MENSELIJKE GEZONDHEIDSZORG EN MAATSCHAP-PELIJKE DIENSTVERLENING,SECTION Q -- HUMAN HEALTH AND SOCIAL WORK ACTIVITIES
R,"SECTIE R -- KUNST, AMUSEMENT EN RECREATIE","SECTION R -- ARTS, ENTERTAINMENT AND RECREATION"
S,SECTIE S -- OVERIGE DIENSTEN,SECTION S -- OTHER SERVICE ACTIVITIES
